Policy,Year,Population (B),GDP ($T),GDP After Damage ($T),GDP PC ($K),Emissions (Gt CO₂),CO₂ (ppm),Temp Increase (°C),Climate Damage (%),Pollution Damage (%),Consumption PC ($K),Pop Growth Rate (%)
Regulatory Mandates,29,9.918116050715374,178.90678091176082,169.7788069965744,17.118050053903996,28.746984136484212,480.8575218137786,1.935895372332651,1.0643442135037886,4.312047620472632,11.982635037732795,0.36359932323291044
Regulatory Mandates,30,9.952016654508556,182.80693067306865,173.4739374707392,17.431033678199324,28.574495881846044,482.1222531033487,1.9625728587965319,1.0938805922080808,4.286174382276907,12.201723574739525,0.3418048712057198
Regulatory Mandates,31,9.983992860796505,186.77175083574485,177.22907923117498,17.751322712487994,28.399639202011993,483.3378958994658,1.9897849860990053,1.1244253786170253,4.2599458803017995,12.425925898741596,0.32130378593631104
Regulatory Mandates,32,10.014147235663556,190.8033354728108,181.04607139018046,18.079030308783352,28.22269979602598,484.5044407155441,2.017508630077813,1.1559768645725208,4.233404969403897,12.655321216148346,0.30202720782639414
Regulatory Mandates,33,10.043345405914984,194.9127666035332,184.93493933391724,18.4136790939203,28.045233348797577,485.62193851881665,2.0457208557624234,1.188532564795181,4.206785002319637,12.88957536574421,0.29156921267787794
Regulatory Mandates,34,10.07245101081099,199.11187845370918,188.90639906011617,18.75475977568505,27.8687381413253,486.6907684326702,2.074399053358404,1.2220893268510848,4.180310721198794,13.128331842979533,0.28979989953212826
Regulatory Mandates,35,10.101459807032997,203.40283578389128,192.96235963979996,19.10242314734081,27.69323270509708,487.71162232749674,2.103521066132034,1.2566434486877944,4.153984905764562,13.371696203138567,0.2880013632319489
Regulatory Mandates,36,10.130367658961386,207.7878747003439,197.1047927344058,19.456825198248918,27.518736477466966,488.68518907008735,2.1330651789746553,1.2921906444021867,4.1278104716200446,13.61977763877424,0.2861749933238622
Regulatory Mandates,37,10.159170538260224,212.26930607002006,201.3357357499938,19.818127374843037,27.345269806464785,489.6121547450485,2.1630101075424304,1.3287260139939236,4.101790470969718,13.872689162390126,0.2843221516581229
Regulatory Mandates,38,10.187864523477769,216.8495191333804,205.65729517260917,20.186496856006993,27.172853956312075,490.49320287502013,2.1933349879477477,1.366244016897032,4.075928093446811,14.130547799204892,0.28244417306986236
Regulatory Mandates,39,10.216445799659404,221.53098532686633,210.07165009527105,20.562106843680844,27.001511113625657,491.329014639857,2.224019366980062,1.4047384490954804,4.050226667043848,14.393474790576592,0.28054236602548244
Regulatory Mandates,40,10.24491065796976,226.3162623275152,214.58105594763924,20.94513686956475,26.83126439428955,492.12026909492863,2.255043192835384,1.4442024236411093,4.024689659143433,14.661595808695322,0.27861801323612045
Regulatory Mandates,41,10.273255495320914,231.20799833291497,219.18784844001712,21.335773118837455,26.6621378509752,492.86764338868835,2.2863868063349693,1.4846283544038643,3.99932067764628,14.935041183186218,0.2766723722388287
Regulatory Mandates,42,10.301476814003697,236.20893659044285,223.89444773398722,21.734208771855695,26.494156481288634,493.57181297965536,2.3180309326150237,1.5260079428950617,3.974123472193295,15.213946140298985,0.2747066759474448
Regulatory Mandates,43,10.329571221319245,241.32192019051843,228.70336285265122,22.140644364853152,26.327346236522715,494.23345185294795,2.349956673270396,1.568332168014451,3.9491019354784074,15.498451055397204,0.2727221331737306
Regulatory Mandates,44,10.357535429208005,246.5498971394195,233.61719634413998,22.555288170711442,26.161734030990182,494.85323273650073,2.3821454989363517,1.6115912785811728,3.9242601046485275,15.78870171949801,0.2707199291200446
Regulatory Mandates,45,10.385366253873578,251.89592572807678,238.6386492128046,22.97835660093318,25.997347751912926,495.4318273170914,2.414579242293536,1.6557747885174108,3.899602162786939,16.084849620653227,0.2687012258446142
Regulatory Mandates,46,10.413060615398805,257.3631802141655,243.77052613326654,23.410074630006413,25.834216269840354,495.9699064562964,2.447240091482211,1.7008714745616322,3.8751324404760537,16.387052241004486,0.26666716270018487
Regulatory Mandates,47,10.440615537351652,262.95495683575973,249.01574096331407,23.85067624341227,25.672369449568464,496.46814040648843,2.4801105839127526,1.7468693763958396,3.85085541743527,16.695473370388587,0.26461885674706753
Regulatory Mandates,48,10.468028146378492,268.6746801758062,254.37732257247433,24.300404910592302,25.511838161528843,496.92719902698025,2.5131736004602563,1.7937557990783046,3.8267757242293268,17.01028343741461,0.2625574031413169
Regulatory Mandates,49,10.495295671782479,274.52590989771346,259.85842100397826,24.759514084260662,25.352654293615018,497.3477520004137,2.546412360031878,1.841517317679766,3.8028981440422527,17.331659858982462,0.2604838754987515
Regulatory Mandates,50,10.522415445084818,280.5123478734344,265.46231398874943,25.22826772751602,25.19485076341109,497.73046904948313,2.57981041449631,1.8901397840271887,3.7792276145116634,17.659787409261213,0.2583993262357698
Regulatory Mandates,51,10.54938489956673,286.6378457265529,271.1924138310153,25.706940870282715,25.038461530784886,498.07602015407514,2.613351643965473,1.93960833546484,3.7557692296177327,17.994858609197898,0.25630478688722924
Regulatory Mandates,52,10.576201569790086,292.9064128140688,277.0522746861378,26.195820196686803,24.883521610805794,498.38507576889737,2.6470202524191855,1.9899074055477213,3.7325282416208694,18.33707413768076,0.25420126840245416
Regulatory Mandates,53,10.602863091094623,299.3222246718041,283.0456002523011,26.6952046650524,24.730067086943833,498.65830704166035,2.6808007636641613,2.0410207365873076,3.7095100630415754,18.68664326553668,0.2520897614195716
Regulatory Mandates,54,10.629367199069842,305.8896319496409,289.1762518987845,27.205406162286863,24.578135124504296,498.8963860318657,2.7146780176192946,2.0929313939741,3.6867202686756446,19.043784313600803,0.24997123651893105
Regulatory Mandates,55,10.655711728999654,312.6131698641351,295.4482572546697,27.726750194508696,24.42776398424841,499.0999859302451,2.748637166919707,2.1456217822057595,3.6641645976372614,19.408725136156086,0.2478466444560956
Regulatory Mandates,56,10.681894615277942,319.4975681974418,301.8658192830033,28.259576615861302,24.278993036147796,499.2697812788825,2.782663673832548,2.1990736625535,3.6418489554221694,19.78170363110291,0.2457169163748274
Regulatory Mandates,57,10.707913890793247,326.5477618729328,308.4333258666524,28.804240397548018,24.131862773216586,499.4064481920404,2.8167433074780086,2.2532681723030907,3.619779415982488,20.162968278283614,0.2435829640005105
Regulatory Mandates,58,10.733767686280814,333.7689021393832,315.15535993333935,29.36111243921833,23.986414825361535,499.51066457770094,2.8508621413494386,2.30818584551018,3.5979622238042306,20.55277870745283,0.24144567981441156
Regulatory Mandates,59,10.75945422964032,341.1663683971665,322.0367101486525,29.93058042493461,23.84269197318702,499.5831103598172,2.8850065511268714,2.3638066352127702,3.5764037959780532,20.951406297454227,0.2393059372091555
Regulatory Mandates,60,10.78497184521764,348.7457807015015,329.0823822071619,30.513049726048777,23.700738161687497,499.6244677012586,2.9191632127786256,2.420109937046568,3.555110724253124,21.359134808234145,0.23716459062601558
Regulatory Mandates,61,10.81031895304899,356.51301297946924,336.2976107531663,31.108944353424043,23.56059851375627,499.6354212274194,2.9533191009460036,2.477074614211553,3.5340897770634405,21.77626104739683,0.235022475673774
Regulatory Mandates,62,10.835494068065934,364.4742069992437,343.6878719640207,31.718707961543537,23.42231934343558,499.6166582504458,2.9874614876064176,2.5346790237405603,3.5133479015153366,22.203095573080475,0.23288040923015174
Regulatory Mandates,63,10.860495799259684,372.63578713175826,351.2588968304669,32.342804907158175,23.285948168828252,499.5688689940193,3.021577941010556,2.592901044022852,3.492892225324238,22.63996343501072,0.23073918952560835
Regulatory Mandates,64,10.885322848803193,381.00447594688075,359.01668516990804,32.981721365240055,23.15153372458783,499.4927468186203,3.05565632488947,2.6517181035377138,3.472730058688174,23.08720495566804,0.22859959620997738
Regulatory Mandates,65,10.909974011129593,389.5873106880604,366.9675204101183,33.63596650512308,23.01912597389925,499.38898844717795,3.089684797927678,2.7111072107548924,3.4528688960848877,23.545176553586156,0.2264623904022267
Regulatory Mandates,66,10.934448171965535,398.3916606713718,375.1179851824771,34.30607372983207,22.88877611985843,499.2582941909947,3.1236518134985958,2.7710449851603514,3.433316417978765,24.014251610882447,0.22432831472352088
Regulatory Mandates,67,10.95874430731802,407.42524565689274,383.4749777654501,34.992601981722814,22.760536616154635,499.1013681758154,3.1575461196587695,2.8315076893672915,3.4140804924231953,24.494821387205967,0.2221980933137191
Regulatory Mandates,68,10.982861482413373,416.6961552424271,392.0457294207149,35.69613711768008,22.634461176956027,498.9189185678928,3.1913567593975345,2.8924712622736624,3.395169176543404,24.987295982376057,0.22007243183188585
Regulatory Mandates,69,11.006798850586984,426.2128693317098,400.83782266603356,36.41729335724684,22.510604785894287,498.71165779988064,3.225073071138846,2.953911353228525,3.3765907178841434,25.492105350072787,0.21795201744045922
Regulatory Mandates,70,11.03055565212253,435.9842797314217,409.859210530725,37.15671480718732,22.389023704041183,498.4803027963666,3.2586846894921164,3.015803357170614,3.3583535556061777,26.009700365031126,0.21583751877394253
Regulatory Mandates,71,11.054131213039364,446.0197129335803,419.1182368413621,37.91507706611747,22.26977547676591,498.2255751988341,3.292181546248956,3.0781224507032556,3.3404663215148864,26.54055394628223,0.21372958589169766
Regulatory Mandates,72,11.07752494382683,456.3289541421785,428.62365758713474,38.69308891297002,22.152918939359456,497.94820158982446,3.3255538716227546,3.140843629070486,3.322937840903918,27.085162239079008,0.21162885021548394
Regulatory Mandates,73,11.10073633812425,466.9222726052958,438.3846634161615,39.4914940831968,22.038514221308798,497.6489137160444,3.358792195728043,3.203941743999744,3.30577713319632,27.644045858237757,0.20953592445174252
Regulatory Mandates,74,11.12376497134538,477.81044831632903,448.41090331590146,40.311073136748206,21.926622749102147,497.32844871014635,3.391887350296561,3.2673915423769184,3.2889934123653224,28.217751195723743,0.2074514024987817
Regulatory Mandates,75,11.146610499246146,489.00480015045537,458.71250953272244,41.15264542200928,21.817307247443694,496.98754931088337,3.424830470626904,3.331167705719799,3.272596087116554,28.80685179540649,0.20537585933912972
